	10AF.fastq.trim.sam.counts	10OS.fastq.trim.sam.counts	1AS.fastq.trim.sam.counts	1OF.fastq.trim.sam.counts	2AS.fastq.trim.sam.counts	2OF.fastq.trim.sam.counts	4AS.fastq.trim.sam.counts	4OF.fastq.trim.sam.counts	6AF.fastq.trim.sam.counts	6OS.fastq.trim.sam.counts	7AF.fastq.trim.sam.counts	7OS.fastq.trim.sam.counts	8AF.fastq.trim.sam.counts	8OS.fastq.trim.sam.counts	9AF.fastq.trim.sam.counts	9OS.fastq.trim.sam.counts	
isogroup10226	7	12	8	16	5	6	8	8	6	10	8	3	3	9	8	5	
isogroup10227	11	32	53	9	10	50	13	21	4	5	9	16	7	15	8	13	
isogroup10228	1	0	1	1	0	0	0	2	0	0	0	1	0	0	0	1	
isogroup10229	1	1	1	1	0	0	1	1	0	0	1	1	0	0	0	1	
isogroup1023	186	192	158	269	165	126	204	269	153	160	191	207	121	205	215	156	
isogroup10230	4	12	8	11	4	6	6	15	3	3	16	10	2	11	7	8	
isogroup10231	47	58	60	50	49	41	40	75	27	29	35	48	22	106	51	41	
isogroup10232	19	15	4	5	2	1	7	9	1	4	4	7	2	14	2	10	
isogroup10234	0	4	5	1	3	0	3	1	2	1	0	1	0	3	1	1	
isogroup10235	3	1	1	6	0	4	3	2	1	4	1	3	1	3	2	1	
isogroup10236	31	41	32	65	25	23	37	74	26	39	31	39	36	35	58	34	
isogroup10237	3	6	2	6	4	4	5	5	9	6	2	7	4	11	8	16	
isogroup10238	7	6	20	9	7	5	9	8	5	1	4	4	2	8	5	4	
isogroup10239	366	425	266	459	278	248	361	537	233	293	327	441	357	459	467	315	
isogroup1024	2	2	2	6	2	3	8	6	0	4	4	1	6	5	5	7	
isogroup10240	15	12	15	31	17	18	17	26	9	9	10	12	6	10	18	7	
isogroup10241	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	
isogroup10242	13	13	7	24	18	21	14	19	16	16	15	7	13	22	21	12	
isogroup10243	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	
isogroup10244	32	32	13	20	13	12	25	28	13	15	14	28	15	35	23	25	
isogroup10245	4	2	4	3	2	1	1	2	0	0	1	3	0	4	6	4	
isogroup10246	6	2	5	5	2	6	5	4	9	1	5	1	5	16	10	11	
isogroup10247	0	0	3	2	0	0	2	1	0	0	0	0	0	3	0	0	
isogroup10248	0	1	2	1	0	1	0	1	0	0	0	0	0	0	0	1	
isogroup10249	1	1	0	0	0	1	2	0	0	0	0	0	0	0	1	0	
isogroup1025	17	18	19	20	14	9	23	34	19	9	16	13	26	38	16	39	
isogroup10250	18	18	15	23	7	14	9	13	12	12	3	5	13	18	13	14	
isogroup10251	1	4	1	0	2	1	7	5	2	1	2	2	1	0	2	2	
isogroup10252	0	1	0	4	1	1	1	1	0	0	1	1	0	1	3	3	
isogroup10253	10	6	10	15	14	5	16	17	12	5	5	12	9	8	15	6	
isogroup10254	563	662	496	831	521	469	593	977	537	562	535	795	723	936	902	804	
isogroup10255	28	29	20	36	9	33	30	32	18	15	28	21	19	34	20	29	
isogroup10256	14	9	9	16	23	7	13	24	8	14	12	10	4	17	15	12	
isogroup10257	0	1	3	0	2	0	5	0	1	0	0	1	2	4	1	2	
isogroup10258	3	8	9	10	2	2	5	9	6	6	5	7	13	12	5	6	
isogroup10259	0	1	0	0	2	1	0	1	1	0	0	0	2	0	1	0	
isogroup1026	55	65	178	248	146	136	46	57	83	132	182	119	97	124	43	20	
